env,lr,use_entropy,episode,return
CartPole-v0,0.0001,True,1,16.548623854991238
CartPole-v0,0.0001,True,2,37.017636879676736
CartPole-v0,0.0001,True,3,18.20930624027691
CartPole-v0,0.0001,True,4,12.247897700103202
CartPole-v0,0.0001,True,5,15.705680661607312
CartPole-v0,0.0001,True,6,13.12541872310217
CartPole-v0,0.0001,True,7,13.12541872310217
CartPole-v0,0.0001,True,8,12.247897700103202
CartPole-v0,0.0001,True,9,28.94467727277075
CartPole-v0,0.0001,True,10,13.994164535871148
CartPole-v0,0.0001,True,11,36.38145139361286
CartPole-v0,0.0001,True,12,17.383137616441324
CartPole-v0,0.0001,True,13,21.432185919278098
CartPole-v0,0.0001,True,14,10.466174574128356
CartPole-v0,0.0001,True,15,20.63857163563444
CartPole-v0,0.0001,True,16,13.994164535871148
CartPole-v0,0.0001,True,17,14.854222890512437
CartPole-v0,0.0001,True,18,17.383137616441324
CartPole-v0,0.0001,True,19,33.10282414303193
CartPole-v0,0.0001,True,20,19.836941046095397
CartPole-v0,0.0001,True,21,12.247897700103202
CartPole-v0,0.0001,True,22,28.226946740172476
CartPole-v0,0.0001,True,23,12.247897700103202
CartPole-v0,0.0001,True,24,16.548623854991238
CartPole-v0,0.0001,True,25,13.12541872310217
CartPole-v0,0.0001,True,26,22.995685419484463
CartPole-v0,0.0001,True,27,26.769663034560228
CartPole-v0,0.0001,True,28,10.466174574128356
CartPole-v0,0.0001,True,29,31.744540498961264
CartPole-v0,0.0001,True,30,15.705680661607312
CartPole-v0,0.0001,True,31,28.94467727277075
CartPole-v0,0.0001,True,32,13.12541872310217
CartPole-v0,0.0001,True,33,14.854222890512437
CartPole-v0,0.0001,True,34,40.10439935338386
CartPole-v0,0.0001,True,35,13.12541872310217
CartPole-v0,0.0001,True,36,13.12541872310217
CartPole-v0,0.0001,True,37,8.64827525163591
CartPole-v0,0.0001,True,38,14.854222890512437
CartPole-v0,0.0001,True,39,26.029962661171947
CartPole-v0,0.0001,True,40,18.20930624027691
CartPole-v0,0.0001,True,41,14.854222890512437
CartPole-v0,0.0001,True,42,21.432185919278098
CartPole-v0,0.0001,True,43,31.055091413092185
CartPole-v0,0.0001,True,44,11.361512828387072
CartPole-v0,0.0001,True,45,20.63857163563444
CartPole-v0,0.0001,True,46,19.02721317787414
CartPole-v0,0.0001,True,47,26.029962661171947
CartPole-v0,0.0001,True,48,8.64827525163591
CartPole-v0,0.0001,True,49,24.52807127963672
CartPole-v0,0.0001,True,50,33.10282414303193
CartPole-v0,0.0001,False,1,42.46452500230711
CartPole-v0,0.0001,False,2,13.994164535871148
CartPole-v0,0.0001,False,3,35.73883979152814
CartPole-v0,0.0001,False,4,53.877803258190404
CartPole-v0,0.0001,False,5,20.63857163563444
CartPole-v0,0.0001,False,6,28.226946740172476
CartPole-v0,0.0001,False,7,9.561792499119552
CartPole-v0,0.0001,False,8,13.12541872310217
CartPole-v0,0.0001,False,9,20.63857163563444
CartPole-v0,0.0001,False,10,40.10439935338386
CartPole-v0,0.0001,False,11,9.561792499119552
CartPole-v0,0.0001,False,12,12.247897700103202
CartPole-v0,0.0001,False,13,16.548623854991238
CartPole-v0,0.0001,False,14,20.63857163563444
CartPole-v0,0.0001,False,15,15.705680661607312
CartPole-v0,0.0001,False,16,13.994164535871148
CartPole-v0,0.0001,False,17,52.94133584143496
CartPole-v0,0.0001,False,18,15.705680661607312
CartPole-v0,0.0001,False,19,10.466174574128356
CartPole-v0,0.0001,False,20,33.10282414303193
CartPole-v0,0.0001,False,21,28.226946740172476
CartPole-v0,0.0001,False,22,20.63857163563444
CartPole-v0,0.0001,False,23,11.361512828387072
CartPole-v0,0.0001,False,24,20.63857163563444
CartPole-v0,0.0001,False,25,28.94467727277075
CartPole-v0,0.0001,False,26,11.361512828387072
CartPole-v0,0.0001,False,27,19.836941046095397
CartPole-v0,0.0001,False,28,28.226946740172476
CartPole-v0,0.0001,False,29,13.12541872310217
CartPole-v0,0.0001,False,30,28.226946740172476
CartPole-v0,0.0001,False,31,9.561792499119552
CartPole-v0,0.0001,False,32,23.765728565289617
CartPole-v0,0.0001,False,33,14.854222890512437
CartPole-v0,0.0001,False,34,16.548623854991238
CartPole-v0,0.0001,False,35,15.705680661607312
CartPole-v0,0.0001,False,36,12.247897700103202
CartPole-v0,0.0001,False,37,11.361512828387072
CartPole-v0,0.0001,False,38,14.854222890512437
CartPole-v0,0.0001,False,39,12.247897700103202
CartPole-v0,0.0001,False,40,10.466174574128356
CartPole-v0,0.0001,False,41,19.02721317787414
CartPole-v0,0.0001,False,42,19.02721317787414
CartPole-v0,0.0001,False,43,14.854222890512437
CartPole-v0,0.0001,False,44,26.029962661171947
CartPole-v0,0.0001,False,45,19.02721317787414
CartPole-v0,0.0001,False,46,18.20930624027691
CartPole-v0,0.0001,False,47,28.226946740172476
CartPole-v0,0.0001,False,48,11.361512828387072
CartPole-v0,0.0001,False,49,28.226946740172476
CartPole-v0,0.0001,False,50,8.64827525163591
CartPole-v0,0.0001,False,1,56.13824981900887
CartPole-v0,0.0001,False,2,36.38145139361286
CartPole-v0,0.0001,False,3,40.70335535985002
CartPole-v0,0.0001,False,4,13.12541872310217
CartPole-v0,0.0001,False,5,39.499393286246324
CartPole-v0,0.0001,False,6,18.20930624027691
CartPole-v0,0.0001,False,7,17.383137616441324
CartPole-v0,0.0001,False,8,16.548623854991238
CartPole-v0,0.0001,False,9,37.017636879676736
CartPole-v0,0.0001,False,10,15.705680661607312
CartPole-v0,0.0001,False,11,21.432185919278098
CartPole-v0,0.0001,False,12,35.73883979152814
CartPole-v0,0.0001,False,13,15.705680661607312
CartPole-v0,0.0001,False,14,18.20930624027691
CartPole-v0,0.0001,False,15,15.705680661607312
CartPole-v0,0.0001,False,16,37.64746051087997
CartPole-v0,0.0001,False,17,12.247897700103202
CartPole-v0,0.0001,False,18,21.432185919278098
CartPole-v0,0.0001,False,19,35.73883979152814
CartPole-v0,0.0001,False,20,13.994164535871148
CartPole-v0,0.0001,False,21,14.854222890512437
CartPole-v0,0.0001,False,22,34.434077942585596
CartPole-v0,0.0001,False,23,19.02721317787414
CartPole-v0,0.0001,False,24,20.63857163563444
CartPole-v0,0.0001,False,25,32.42709509397165
CartPole-v0,0.0001,False,26,12.247897700103202
CartPole-v0,0.0001,False,27,23.765728565289617
CartPole-v0,0.0001,False,28,47.44035124744375
CartPole-v0,0.0001,False,29,12.247897700103202
CartPole-v0,0.0001,False,30,13.994164535871148
